,city,health_checkup,known,name,price
141,ernakulam,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
142,aurangabad,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
143,bhopal,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
144,krishnamedak,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
145,mohali,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
146,salem,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
147,rangareddy,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
148,bangalore,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
149,pune,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
150,kolkata,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
151,coimbatore,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
152,chandigarh,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
153,ghaziabad,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
154,jaipur,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
155,vadodara,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
156,panchkula,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
157,raipur,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
158,madurai,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
159,vijayawada,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
160,delhi,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
161,mumbai,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
162,noida,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
163,navi mumbai,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
164,faridabad,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
165,ahmedabad,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
166,jodhpur,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
167,ludhiana,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
168,visakhapatnam,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
169,nagpur,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
170,karnal,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
171,surat,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
172,raigarh,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
173,gurgaon,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
174,thane,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
175,hyderabad,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
176,chennai,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
177,bhubaneswar,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
178,indore,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
179,lucknow,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
180,patna,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
181,ernakulam,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
182,aurangabad,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
183,bhopal,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
184,krishnamedak,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
185,mohali,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
186,salem,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
187,rangareddy,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
188,bangalore,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
189,pune,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach and Digestion Checkup,₹2500
190,kolkata,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
191,coimbatore,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
192,chandigarh,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
193,ghaziabad,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
194,jaipur,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach and Digestion Checkup,₹2500
195,vadodara,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
196,panchkula,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
197,raipur,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
198,madurai,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
199,vijayawada,stomach-digestion-checkups,Ideal for individuals aged 10 - 100 years,Stomach & Digestion Profile,₹2500
200,delhi,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
201,mumbai,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
202,noida,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
203,navi mumbai,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
204,faridabad,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
205,ahmedabad,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
206,jodhpur,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
207,ludhiana,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
208,visakhapatnam,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
209,nagpur,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
210,karnal,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
211,surat,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
212,raigarh,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
213,gurgaon,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
214,thane,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
215,hyderabad,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
216,chennai,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
217,bhubaneswar,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
218,indore,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
219,lucknow,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
220,patna,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
221,ernakulam,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
222,aurangabad,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
223,bhopal,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
224,krishnamedak,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
225,mohali,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
226,salem,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
227,rangareddy,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
228,bangalore,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
229,pune,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
230,kolkata,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
231,coimbatore,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
232,chandigarh,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
233,ghaziabad,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
234,jaipur,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
235,vadodara,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
236,panchkula,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
237,raipur,sexual-wellness-checkups,Ideal for individuals aged 15 - 80 years,STD Checkup,₹3499
238,madurai,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
239,vijayawada,sexual-wellness-checkups,Ideal for individuals aged 18 - 60 years,Sexual Health Checkup - Male,₹1299
240,delhi,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
241,mumbai,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
242,noida,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
243,navi mumbai,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
244,faridabad,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
245,ahmedabad,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
246,jodhpur,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
247,ludhiana,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
248,visakhapatnam,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
249,nagpur,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
